dealer_id,name,region,capacity,rating,established_year,contact_email,contact_phone
DLR001,Premier North 1,North,117,4.1,2007,contact@premiernorth1.com,+1-450-328-3286
DLR002,Signature North 2,Central,56,4.8,1995,contact@signaturenorth2.com,+1-804-532-1520
DLR003,AutoMax North 3,South,412,3.5,2004,contact@automaxnorth3.com,+1-717-716-1434
DLR004,CarMaster South 4,Central,79,3.2,2016,contact@carmastersouth4.com,+1-425-559-5557
DLR005,Premier North 5,South,197,4.8,2017,contact@premiernorth5.com,+1-548-384-3547
DLR006,MotorHub East 6,North,374,3.7,1995,contact@motorhubeast6.com,+1-589-199-6881
DLR007,Capital East 7,Central,311,3.9,2006,contact@capitaleast7.com,+1-244-847-8527
DLR008,CarMaster North 8,West,171,4.0,1995,contact@carmasternorth8.com,+1-765-400-6925
DLR009,AutoElite South 9,North,315,3.5,1992,contact@autoelitesouth9.com,+1-877-333-5741
DLR010,CarWorld South 10,North,126,3.6,2014,contact@carworldsouth10.com,+1-484-564-6977
DLR011,DriveTime East 11,East,243,3.6,2003,contact@drivetimeeast11.com,+1-886-373-2169
DLR012,AutoElite South 12,Central,485,4.3,2005,contact@autoelitesouth12.com,+1-367-573-7216
DLR013,VehiclePro Central 13,South,101,4.8,2010,contact@vehicleprocentral13.com,+1-986-894-1916
DLR014,MotorHub North 14,East,487,3.6,2015,contact@motorhubnorth14.com,+1-474-167-4456
DLR015,Metro Central 15,East,328,3.4,2003,contact@metrocentral15.com,+1-871-611-7482
DLR016,Metro West 16,South,84,4.5,2006,contact@metrowest16.com,+1-342-352-9830
DLR017,VehiclePro Central 17,West,424,3.0,2015,contact@vehicleprocentral17.com,+1-570-324-3266
DLR018,CarMaster West 18,North,288,4.4,1993,contact@carmasterwest18.com,+1-312-256-3621
DLR019,Premier West 19,Central,427,3.8,1994,contact@premierwest19.com,+1-594-490-8668
DLR020,CarMaster East 20,Central,484,3.9,1990,contact@carmastereast20.com,+1-896-838-2876
DLR021,Premier Central 21,East,270,4.9,2011,contact@premiercentral21.com,+1-314-400-8123
DLR022,DriveTime West 22,North,277,3.6,2006,contact@drivetimewest22.com,+1-712-880-3927
DLR023,CarMaster North 23,East,185,4.5,2022,contact@carmasternorth23.com,+1-823-303-3504
DLR024,CarZone South 24,Central,457,4.3,2023,contact@carzonesouth24.com,+1-200-713-6310
DLR025,RideRight North 25,North,363,4.2,2013,contact@riderightnorth25.com,+1-514-345-1949
DLR026,MotorHub Central 26,North,261,3.2,1995,contact@motorhubcentral26.com,+1-949-597-2133
DLR027,Premier Central 27,South,133,4.2,1998,contact@premiercentral27.com,+1-875-586-3705
DLR028,VehiclePro Central 28,Central,464,3.2,2017,contact@vehicleprocentral28.com,+1-416-652-4295
DLR029,Signature East 29,West,87,4.1,2013,contact@signatureeast29.com,+1-648-629-8397
DLR030,CarWorld South 30,South,252,4.7,1994,contact@carworldsouth30.com,+1-546-121-4770
