sale_id,date,brand,model,quantity,base_price,discount,final_price,region,color,salesperson_id,revenue
SALE000001,2023-05-21,Honda,Civic,39,27542.02,0.0367,26531.59,South,Black,SP242,1034731.9
SALE000002,2023-10-30,Honda,Civic,8,26513.02,0.0312,25685.71,West,White,SP130,205485.72
SALE000003,2023-04-30,Honda,Accord,19,23919.87,0.0918,21722.84,Central,Red,SP127,412733.87
SALE000004,2023-11-29,Hyundai,Sonata,36,21357.19,0.1302,18576.96,Central,Gray,SP325,668770.57
SALE000005,2023-01-04,Nissan,Rogue,2,25065.59,0.1877,20360.51,South,Blue,SP532,40721.03
SALE000006,2023-03-21,Audi,Q5,2,43072.79,0.0367,41492.84,South,Brown,SP444,82985.68
SALE000007,2023-07-14,Honda,Civic,12,26580.6,0.0014,26543.03,North,Silver,SP967,318516.42
SALE000008,2023-01-23,Audi,Q5,25,44079.31,0.1224,38685.3,West,Red,SP227,967132.48
SALE000009,2023-10-10,Volkswagen,Golf,42,27279.99,0.1948,21967.18,East,Brown,SP743,922621.64
SALE000010,2023-10-23,Kia,Sportage,15,21806.71,0.157,18382.29,South,Blue,SP171,275734.34
SALE000011,2023-05-29,Toyota,Corolla,44,25071.17,0.1185,22100.66,North,Brown,SP338,972429.25
SALE000012,2023-05-23,Honda,Pilot,3,27871.69,0.1361,24079.43,West,Blue,SP954,72238.28
SALE000013,2023-07-09,Audi,A6,9,41998.47,0.1898,34028.12,East,Black,SP786,306253.1
SALE000014,2023-11-08,Mercedes,C-Class,14,50960.61,0.0609,47855.95,South,Red,SP846,669983.29
SALE000015,2023-08-25,BMW,5 Series,2,60655.53,0.088,55315.99,West,Silver,SP755,110631.99
SALE000016,2023-12-17,Hyundai,Sonata,7,23505.98,0.1666,19588.97,East,Brown,SP886,137122.77
SALE000017,2023-01-17,Toyota,Corolla,35,27046.6,0.0518,25646.78,East,Gray,SP374,897637.17
SALE000018,2023-10-18,Honda,Accord,40,27327.88,0.085,25004.16,East,Black,SP771,1000166.33
SALE000019,2023-11-26,Nissan,Pathfinder,42,29189.95,0.0063,29007.14,West,Black,SP371,1218300.02
SALE000020,2023-10-15,Ford,Mustang,18,29540.74,0.1879,23990.04,Central,Silver,SP864,431820.74
SALE000021,2023-10-26,Kia,Sorento,36,22430.76,0.1844,18295.09,West,Silver,SP324,658623.31
SALE000022,2023-02-16,Ford,Escape,8,28394.49,0.1042,25436.73,North,Brown,SP212,203493.8
SALE000023,2023-12-15,Ford,Mustang,40,29929.39,0.1495,25456.02,West,Red,SP165,1018240.92
SALE000024,2023-11-02,Volkswagen,Atlas,47,31972.43,0.0714,29691.18,West,Red,SP357,1395485.26
SALE000025,2023-12-15,Hyundai,Elantra,45,21348.25,0.1604,17923.15,North,Blue,SP649,806541.73
SALE000026,2023-02-27,Mercedes,GLC,1,56355.14,0.0847,51582.97,East,Gray,SP261,51582.97
SALE000027,2023-05-15,Nissan,Altima,1,22553.84,0.0011,22528.93,Central,Brown,SP282,22528.93
SALE000028,2023-11-17,Hyundai,Elantra,11,21614.68,0.1423,18539.59,East,Brown,SP754,203935.54
SALE000029,2023-03-20,Hyundai,Sonata,35,24247.84,0.0148,23888.76,East,Brown,SP265,836106.44
SALE000030,2023-11-03,Hyundai,Elantra,39,23694.95,0.183,19358.97,East,Gray,SP119,754999.64
SALE000031,2023-06-07,Honda,CR-V,9,26641.15,0.0662,24878.05,South,White,SP346,223902.44
SALE000032,2023-02-13,Kia,Optima,48,21431.6,0.1338,18564.73,West,Brown,SP170,891107.15
SALE000033,2023-03-07,Hyundai,Sonata,37,24056.19,0.1275,20988.75,West,Red,SP269,776583.72
SALE000034,2023-04-19,Mercedes,GLE,27,63164.32,0.0766,58326.86,Central,Brown,SP847,1574825.14
